Date,Area Name,Road/Intersection Name,Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Incident Reports,Environmental Impact,Public Transport Usage,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Weather Conditions,Roadwork and Construction Activity
2022-01-01,Indiranagar,100 Feet Road,50590,50.2302985640803,1.5,100,100,0,151.18,70.6323302042455,84.0446004697284,85.4036288898023,111,Clear,No
,,,,,,,,,,,,,,,
2022-01-01,Whitefield,Marathahalli Bridge,7399,54.4743982104664,1.03906884560255,28.3479938635765,36.396524937396,0,64.798,44.6623837077889,61.3755408446087,95.4660201039391,189,Clear,No
2022-01-01,Koramangala,Sony World Junction,60874,43.8176103894861,1.5,100,100,1,171.748,32.7731231534285,75.5470915875793,63.5674515886948,111,Clear,No
2022-01-01,Koramangala,Sarjapur Road,57292,41.1167628884087,1.5,100,100,3,164.584,35.0926009980991,64.6347623810052,93.1551712937797,104,Clear,No
2022-01-01,M.G. Road,Trinity Circle,47848,34.2419625497181,1.5,100,100,3,145.696,39.9278712850985,61.0167650697638,55.3945713496652,94,Overcast,No
2022-01-01,M.G. Road,Anil Kumble Circle,36574,29.9824295641546,1.5,100,100,3,123.148,72.4791298942984,81.573689676626,90.3720077582031,115,Clear,No
2022-01-01,Jayanagar,Jayanagar 4th Block,25379,38.4551794388877,1.5,79.0388228760813,100,2,100.758,46.3153435220356,88.1207583558071,68.1814801189647,92,Clear,No
2022-01-01,Jayanagar,South End Circle,25022,35.039373044314,1.5,78.9795959513989,100,1,100.044,44.2616932194294,99.426018164424,62.102763575575,105,Clear,No
2022-01-01,Hebbal,Hebbal Flyover,31760,56.9045562580998,1.5,97.6724620677548,100,1,113.52,12.8542599088335,83.6357177275297,83.8782180921141,91,Clear,No
2022-01-01,Hebbal,Ballari Road,38446,26.1448762617115,1.5,100,100,3,126.892,48.8640568119624,81.1860231342403,62.0926145450226,84,Overcast,No
2022-01-01,Yeshwanthpur,Yeshwanthpur Circle,15043,47.9698467323319,1.35483456970605,55.7408442504858,76.6353164615429,0,80.086,21.314009986623,95.9421675410832,80.3214529829795,105,Clear,No
2022-01-02,Indiranagar,100 Feet Road,22050,52.8708460374245,1.13015987926371,78.4298281023605,100,3,94.1,35.7401062141604,70.608094707269,62.1994821689542,115,Fog,No
2022-01-02,Indiranagar,CMH Road,37877,26.4284244358372,1.5,100,100,1,125.754,75.832100904704,98.1571430801035,95.7432195110224,96,Overcast,No
2022-01-02,Koramangala,Sarjapur Road,29106,43.5639879432347,1.5,90.4098549337219,100,3,108.212,53.0505058689419,99.6021540041705,57.0042007618262,100,Fog,No
2022-01-02,M.G. Road,Trinity Circle,53217,37.5720749098011,1.5,100,100,5,156.434,33.6596609796075,75.0233181055978,54.6990969920435,102,Clear,No
2022-01-02,M.G. Road,Anil Kumble Circle,37584,45.8895059696737,1.5,100,100,2,125.168,15.9743225495638,62.0672688467443,76.5677315784074,101,Fog,No
2022-01-02,Jayanagar,Jayanagar 4th Block,16676,53.5243333479622,1.17558856828225,47.155794293512,78.6335074341546,2,83.352,38.6267061089989,66.9317728028338,57.8218521335543,92,Fog,No
2022-01-02,Jayanagar,South End Circle,37509,51.5135098647949,1.5,100,100,1,125.018,63.0492277325058,60.5757395451902,55.8036320253458,76,Overcast,No
2022-01-02,Hebbal,Hebbal Flyover,6758,34.7561235866571,1.06928074796401,21.2036996514261,32.7750473439737,1,63.516,13.1712806840431,74.9845045850588,81.2929957857118,200,Rain,No
2022-01-02,Hebbal,Ballari Road,30209,31.1468640313824,1.5,100,100,2,110.418,48.1931752521154,97.658592351061,69.3051318900387,90,Clear,Yes
2022-01-02,Yeshwanthpur,Yeshwanthpur Circle,20375,40.0699906534117,1.33795012438778,58.3821053813832,100,0,90.75,18.2715379335159,87.869486614566,81.4471423389942,113,Overcast,No
2022-01-02,Yeshwanthpur,Tumkur Road,15636,32.7942989571815,1.3105651842968,48.9360708050604,82.4875732560357,1,81.272,62.5609747454048,90.1817149633873,55.1561934417966,115,Overcast,No
2022-01-03,Indiranagar,100 Feet Road,23457,38.8690531709162,1.38002478682032,87.2021429387511,100,2,96.914,33.0065181758941,86.9007382430815,87.618726471884,109,Clear,No
2022-01-03,Indiranagar,CMH Road,38925,33.5294261849786,1.5,100,100,1,127.85,53.2752644321383,64.0449070449116,54.2053403057499,106,Overcast,No
2022-01-03,Whitefield,Marathahalli Bridge,9154,40.2261826942468,1.37889943095354,40.2333546097908,48.3037818525894,0,68.308,15.8450501689068,91.0858766370975,77.9202124867903,197,Clear,No
2022-01-03,Whitefield,ITPL Main Road,24968,36.7276905644768,1.29841795170617,84.8940419686099,100,1,99.936,70.8019389732622,68.9438335407781,98.1611269720306,82,Windy,No
2022-01-03,Koramangala,Sony World Junction,51459,27.3265243711195,1.5,100,100,0,152.918,29.6674232714561,98.0164593630624,94.5131891945458,99,Clear,No
2022-01-03,Koramangala,Sarjapur Road,28481,36.5039378647621,1.5,100,100,2,106.962,66.9656513794864,87.3892469021552,58.1308469672446,116,Overcast,No
2022-01-03,Jayanagar,Jayanagar 4th Block,10179,40.308243478953,1.39491045172598,26.9383378220706,51.8363071535214,0,70.358,77.8940078470222,93.6847569254284,91.9164352355569,199,Clear,Yes
2022-01-04,Indiranagar,100 Feet Road,46199,41.228499323475,1.5,100,100,2,142.398,57.01904790841,84.7251296183158,67.908135901642,86,Clear,No
2022-01-04,Indiranagar,CMH Road,56242,52.553408424432,1.5,100,100,0,162.484,12.0147873419337,90.2054902269448,81.0154775676732,106,Clear,Yes
2022-01-04,Whitefield,Marathahalli Bridge,20450,24.607678222399,1.3616634777975,65.1317760071327,100,1,90.9,53.5460690159512,94.4945483498698,97.4760311828821,100,Clear,No
2022-01-04,Whitefield,ITPL Main Road,13391,51.6967254883004,1.03034533124347,37.2142611048797,63.2354583895777,0,76.782,19.7179020854587,85.6349897921286,59.0940042199572,194,Clear,No
2022-01-04,Koramangala,Sony World Junction,28369,29.4097450676614,1.5,86.3373840084744,100,1,106.738,35.4988902733653,80.1366908341943,84.5197414314683,104,Overcast,No
2022-01-04,Koramangala,Sarjapur Road,31228,42.5750771004731,1.5,97.7837537204609,100,2,112.456,35.8239547698841,78.5013886453259,87.3735469066878,73,Fog,No
